Date,Close
40562.00,62.76
40561.00,62.76
40557.00,62.98
40556.00,62.34
40555.00,62.81
40554.00,61.57
40553.00,60.92
40550.00,61.84
40549.00,61.51
40548.00,61.94
40547.00,61.92
40546.00,61.78
40543.00,61.19
40542.00,60.83
40541.00,59.7
40540.00,58.93
40539.00,58.44
40535.00,58.71
40534.00,58.8
40533.00,58.63
40532.00,58.49
40529.00,58.08
40528.00,58.13
40527.00,57.55
40526.00,58.63
40525.00,58.22
40522.00,57.95
40521.00,57.92
40520.00,57.08
40519.00,57.35
40518.00,57.19
40515.00,57.31
40514.00,56.56
40513.00,55.63
40512.00,53.97
40511.00,53.7
40508.00,53.51
40506.00,55.41
40505.00,53.5
40504.00,56.57
40501.00,56.52
40500.00,56.08
40499.00,54.47
40498.00,54.19
40497.00,55.47
40494.00,55.46
40493.00,57.3
40492.00,57.63
40491.00,56.75
40490.00,57.13
40487.00,57.44
40486.00,57.79
40485.00,56.79
40484.00,56
40483.00,55.35
40480.00,54.39
40479.00,55.04
40478.00,54.5
40477.00,55.48
40476.00,55.64
40473.00,54.7
40472.00,53.98
40471.00,53.98
40470.00,52.79
40469.00,56
40466.00,55.64
40465.00,55.41
40464.00,54.99
40463.00,54.32
40462.00,55.16
40459.00,55.68
40458.00,55.47
40457.00,55.97
40456.00,55.16
40455.00,54.57
40452.00,54.44
40451.00,53.49
40450.00,53.15
40449.00,52.89
40448.00,52.68
40445.00,52.77
40444.00,51.8
40443.00,52.41
40442.00,52.37
40441.00,52.25
40438.00,51.38
40437.00,51.23
40436.00,51.79
40435.00,51.57
40434.00,51.61
40431.00,50.92
40430.00,50.49
40429.00,49.99
40428.00,49.55
40424.00,50.09
40423.00,49.66
40422.00,49.64
40421.00,47.79
40420.00,47.92
40417.00,48
40416.00,47.34
40415.00,47.59
40414.00,48.28
40413.00,48.96
40410.00,49.25
40409.00,49.49
40408.00,49.41
40407.00,49.24
40406.00,48.36
40403.00,48.28
40402.00,47.85
40401.00,48.08
40400.00,50.13
40399.00,50.83
40396.00,50.66
40395.00,50.6
40394.00,50.87
40393.00,50.83
40392.00,50.63
40389.00,49.05
40388.00,49
40387.00,49.06
40386.00,49.41
40385.00,49.56
40382.00,48.85
40381.00,48.33
40380.00,47.45
40379.00,47.81
40378.00,46.96
40375.00,46.37
40374.00,48.19
40373.00,48.36
40372.00,47.87
40371.00,47.54
40368.00,47.45
40367.00,46.5
40366.00,46.03
40365.00,45.45
40361.00,44.25
40360.00,44.91
40359.00,44.71
40358.00,45.07
40357.00,47.17
40354.00,47.4
40353.00,47.39
40352.00,47.71
40351.00,47.89
40350.00,48.89
40347.00,47.92
40346.00,47.01
40345.00,47.19
40344.00,47.12
40343.00,45.93
40340.00,45.11
40339.00,44.78
40338.00,43.9
40337.00,44.38
40336.00,43.51
40333.00,44.33
40332.00,45.48
40331.00,45.07
40330.00,43.49
40326.00,44
40325.00,44.81
40324.00,42.09
40323.00,42.2
40322.00,43.52
40319.00,44.1
40318.00,43.3
40317.00,46.27
40316.00,46.74
40315.00,48.05
40312.00,48.69
40311.00,49.35
40310.00,49.08
40309.00,48.97
40308.00,49.89
40305.00,46.89
40304.00,46.74
40303.00,48.68
40302.00,49.63
40301.00,51.74
40298.00,51.85
40297.00,52.4
40296.00,51.73
40295.00,51.03
40294.00,52.9
40291.00,52.74
40290.00,52.47
40289.00,52.36
40288.00,51.7
40287.00,51.07
40284.00,51.66
40283.00,52.68
40282.00,52.56
40281.00,51.32
40280.00,51.38
40277.00,52.05
40276.00,52.07
40275.00,51.65
40274.00,52.15
40273.00,52.12
40269.00,51.61
40268.00,50
40267.00,49.91
40266.00,49.68
40263.00,48.74
40262.00,49.04
40261.00,49.03
40260.00,49.4
40259.00,49.01
40256.00,49.25
40255.00,49.09
40254.00,49.43
40253.00,48.58
40252.00,48.33
40249.00,48.68
40248.00,48.95
40247.00,49.24
40246.00,48.82
40245.00,48.72
40242.00,48.4
40241.00,46.86
40240.00,47.06
40239.00,46.77
40238.00,46.23
40235.00,45.56
40234.00,45.4
40233.00,46.37
40232.00,46.09
40231.00,47.03
40228.00,46.54
40227.00,47.56
40226.00,47.26
40225.00,46.6
40221.00,45.69
40220.00,46.15
40219.00,45.09
40218.00,45.17
40217.00,43.9
40214.00,44.28
40213.00,44.82
40212.00,46.48
40211.00,46.69
40210.00,46.53
40207.00,45.44
40206.00,46.27
40205.00,46.52
40204.00,46.85
40203.00,48.07
40200.00,47.61
40199.00,49
40198.00,49.48
40197.00,50.42
40193.00,49.4
40192.00,49.78
40191.00,49.48
40190.00,49.4
40189.00,50.09
40186.00,49.78
40185.00,49.06
40184.00,50.08
40183.00,49.37
40182.00,49.35
40178.00,47.64
40177.00,47.62
40176.00,47.34
40175.00,47.5
40171.00,47.27
40170.00,46.52
40169.00,46.2
40168.00,46.08
40165.00,45.92
40164.00,45.82
40163.00,47.47
40162.00,47.53
40161.00,47.66
40158.00,47.39
40157.00,47.15
40156.00,46.87
40155.00,46.32
40154.00,47.1
40151.00,47.06
40150.00,46.45
40149.00,46.06
40148.00,45.58
40147.00,44.38
40144.00,44
40142.00,46.48
40141.00,46.18
40140.00,46.87
40137.00,46.08
40136.00,45.76
40135.00,46.09
40134.00,45.9
40133.00,46.15
40130.00,45.1
40129.00,44.67
40128.00,45.75
40127.00,45.36
40126.00,45.89
40123.00,44.5
40122.00,44.21
40121.00,44.11
40120.00,42.92
40119.00,43.13
40116.00,42.88
40115.00,44.96
40114.00,43.45
40113.00,45.32
40112.00,45.73
40109.00,45.43
40108.00,45.47
40107.00,45.82
40106.00,46.24
40105.00,46.98
40102.00,46.08
40101.00,47.66
40100.00,47.68
40099.00,46.09
40098.00,46.4
40095.00,46.62
40094.00,45.87
40093.00,45.17
40092.00,45.83
40091.00,45.85
40088.00,45.11
40087.00,45.39
40086.00,47.38
40085.00,47.13
40084.00,47.07
40081.00,46.69
40080.00,46.34
40079.00,47.22
40078.00,47.58
40077.00,46.46
40074.00,46.77
40073.00,46.53
40072.00,46.84
40071.00,45.54
40070.00,44.41
40067.00,44.81
40066.00,44.64
40065.00,43.8
40064.00,43.73
40060.00,43.3
40059.00,42.95
40058.00,42.57
40057.00,41.84
40056.00,41.59
40053.00,42.35
40052.00,42.34
40051.00,42.46
40050.00,42.36
40049.00,42.64
40046.00,42.36
40045.00,41.68
40044.00,40.65
40043.00,40.4
40042.00,39.15
40039.00,41.51
40038.00,41.63
40037.00,41.08
40036.00,40.76
40035.00,41.72
40032.00,42.73
40031.00,41.7
40030.00,41.92
40029.00,42.36
40028.00,42.75
40025.00,41.64
40024.00,41.19
40023.00,39.96
40022.00,40.25
40021.00,40.3
40018.00,39.8
40017.00,39.89
40016.00,39.26
40015.00,39.1
40014.00,38.93
40011.00,37.73
40010.00,37.5
40009.00,37.21
40008.00,34.97
40007.00,34.7
40004.00,35.66
40003.00,35.98
40002.00,35.69
40001.00,35.71
40000.00,36.11
39996.00,34.8
39995.00,35.91
39994.00,34.79
39993.00,35.04
39990.00,34.85
39989.00,34.94
39988.00,33.98
39987.00,33.77
39986.00,33.86
39983.00,34.74
39982.00,34.7
39981.00,34.85
39980.00,34.86
39979.00,35.24
39976.00,36.55
39975.00,36.64
39974.00,35.98
39973.00,34.99
39972.00,35.32
39969.00,35.71
39968.00,35.94
39967.00,35.51
39966.00,36.58
39965.00,37.42
39962.00,36.11
39961.00,35.68
39960.00,33.92
39959.00,35.37
39955.00,35.92
39954.00,35.89
39953.00,36.94
39952.00,36.76
39951.00,36.55
39948.00,34.78
39947.00,35.15
39946.00,35
39945.00,36.16
39944.00,35.99
39941.00,37.03
39940.00,35.2
39939.00,36.29
39938.00,36.39
39937.00,36.76
39934.00,34.74
39933.00,34.22
39932.00,33.23
39931.00,31.26
39930.00,31.9
39927.00,33.15
39926.00,32.93
39925.00,32.28
39924.00,32.22
39923.00,30.73
39920.00,32.44
39919.00,32.45
39918.00,32.37
39917.00,32.08
39916.00,32.6
39912.00,32.69
39911.00,30.68
39910.00,31.05
39909.00,31.65
39906.00,31.96
39905.00,31.73
39904.00,29.73
39903.00,28.46
39902.00,27.43
39899.00,29.64
39898.00,30.45
39897.00,29.36
39896.00,28.55
39895.00,29.25
39892.00,26.77
39891.00,27.23
39890.00,27.87
39889.00,26.97
39888.00,25.57
39885.00,24.9
39884.00,25.32
39883.00,24.55
39882.00,24.27
39881.00,22
39878.00,22.04
39877.00,21.4
39876.00,22.46
39875.00,20.67
39874.00,20.02
39871.00,21.8
39870.00,22.19
39869.00,22.63
39868.00,23.32
39867.00,22.44
39864.00,22.37
39863.00,23.75
39862.00,24.2
39861.00,24.32
39857.00,27.18
39856.00,27.26
